,toxic,not_toxic
0,and Dr. Palmer is the worst.,And Dr. Palmer is taking it the hardest.
1,"I'm stuck in the same day, and it's a fucking hell that you can't even fathom, and it just keeps happening.",I'm stuck in one day and it's a hell you can't understand and it's happening again and again.
2,Was it a trick of this damn light? he wondered.,was it a trickle of light? He wondered.
3,Get this rat off of me!,get her off me!
4,"They nail me for the works, not just the people I did kill, but even Lucille and the girls that Roark and Kevin ate. and even Goldie.","it puts everything on me, not just the people I really killed, but also Lucille and the girls who ate Roark and Kevin."
5,"That should go up prior, not to interrupt the fucking teacher.",she should stand before it doesn't disturb the teacher.
6,I'm going to turn off the light so I don't have to watch your stupid giant smile.,"I'm turning off this light, so I don't have to look at that giant muggy smile."
7,if you don't want the power to kill you.,Only if you don't want to get electrocuted.
8,"Soldiers that came in that were too gravely wounded, they took them outside and killed them.",the soldiers who were seriously injured were taken out and killed.
9,"Let's do this shit, shall we?","let's go, shall we?"
10,"Goddamn, this is a lot.","hell, it's a lot."
11,You fuckin' ruined everything.,you've ruined everything!
12,"Okay, fat bastard, who the Japanese you made an exchange with?","OK Fat Bastarde, who's the japanese guy you met?"
13,You're pretty goddamn sure you know what's going on all the time.,you're damn sure you know what's going on.
14,but I saw him shoot him.,But I saw him get shot.
15,was that a party of monkeys?,His party of apes?
16,"come on, cheer up, pussycat.","Come on, cheer up, darling."
17,that he was nice... and hanged.,That he was kind... and generous.
18,"Sam, hush that dog up.","Sam, keep that dog quiet."
19,"fuck, man, we're only needlessly like three hours.",We just wasted like three hours.
20,I don't want you hooked on those shit pills again.,I don't want you to have any problems with those pills again.
21,Goddamn it.,bloody hell!
22,the Mexicans will smell your weakness and get you on it.,"The mexicans will smell your weakness, And they'll pounce on it."
23,I'll arrest you!,I will keep you!
24,I'm a cunning robber.,I'm the cat burglar.
25,are you still full of the shit that McFee served you?,Are you still filled up with the guff McFee dished out?
26,what the hell are you doing?,What are you doing?
27,you're completely burned.,You're really burnt.
28,Who's Kelly? Only the best thing to ever happen to this criminal degenerate.,the best thing that's happened to this criminal.
